GeneNames,control,experiment,logFC,p-value
MTERF3_ENSTGUG00000011961.2,0.08419513,0.09949895,-0.01530382,0.0006749068163502331
CTDP1_ENSTGUG00000006649.2,0.059778195,0.0897833,-0.030005109,1.2562732778756227e-13
PDP1_ENSTGUG00000011869.2,0.111936115,0.10687708,0.0050590336,0.3116249278351069
5S_rRNA_ENSTGUG00000017595.2,0.0,0.0,0.0,
CDH17_ENSTGUG00000011871.2,0.004397199,0.0048696417,-0.0004724427,0.6500222614331521
PTDSS1_ENSTGUG00000011966.2,0.118791215,0.13745801,-0.018666796,0.0005637441844694641
ANKH_ENSTGUG00000007404.2,0.26940596,0.26067072,0.0087352395,0.26511018929164804
BMPER_ENSTGUG00000005316.2,0.054849338,0.056624103,-0.0017747656,0.6022192923207419
ELP2_ENSTGUG00000008552.2,0.043553088,0.04313511,0.00041797757,0.8893852317000498
_ENSTGUG00000019745.1,0.0028565263,0.005342613,-0.0024860867,0.005492347603557533
_ENSTGUG00000029596.1,0.0,0.0005411889,-0.0005411889,0.03271783673889908
SDC2_ENSTGUG00000019500.1,0.87041575,0.9796816,-0.109265864,1.834908552747552e-14
GEM_ENSTGUG00000011878.2,0.055776976,0.052539088,0.0032378882,0.38123138660139466
_ENSTGUG00000022372.1,0.0002498182,6.615167e-05,0.00018366653,0.27031991379605674
_ENSTGUG00000002953.2,0.07526584,0.07404686,0.001218982,0.7750748385626143
_ENSTGUG00000026579.1,0.010591962,0.012675242,-0.0020832792,0.11762930190315209
_ENSTGUG00000008579.2,0.11379218,0.14843588,-0.034643695,1.42863221203707e-12
_ENSTGUG00000021050.1,0.26962397,0.35820624,-0.08858228,2.586737514207494e-32
OTULIN_ENSTGUG00000007427.2,0.3169743,0.29834253,0.018631786,0.022777023955240023
KCNG2_ENSTGUG00000006664.2,0.016279368,0.022779226,-0.0064998586,0.0017739679868911285
NPSR1_ENSTGUG00000005340.2,0.0006929684,0.00046746753,0.00022550084,0.5473000737200374
CPQ_ENSTGUG00000011977.2,0.04629567,0.06051089,-0.01421522,4.361589123945708e-05
CREB5_ENSTGUG00000002959.2,0.03682486,0.041991323,-0.0051664636,0.05296238055095055
OTULINL_ENSTGUG00000007437.2,0.019631978,0.040502124,-0.020870145,1.1354856689869513e-14
ABITRAM_ENSTGUG00000027899.1,0.1535727,0.18029274,-0.026720047,1.3217451017515817e-06
SLC66A2_ENSTGUG00000023857.1,0.14975052,0.15366985,-0.003919333,0.5134405622774298
SLC39A6_ENSTGUG00000008614.2,0.28872648,0.2555058,0.03322068,5.197403166151025e-05
_ENSTGUG00000027077.1,0.009534391,0.008396042,0.0011383491,0.3349458474174043
_ENSTGUG00000021041.1,0.14552787,0.19398299,-0.04845512,1.4398089653873307e-19
_ENSTGUG00000025625.1,0.008850691,0.00805681,0.0007938808,0.48476326546176807
TRIO_ENSTGUG00000007442.2,0.15922791,0.1789257,-0.019697785,0.0012083126004845787
_ENSTGUG00000025273.1,0.14278132,0.18956101,-0.046779692,5.827347012631253e-19
_ENSTGUG00000019469.1,0.00012538645,0.00010031223,2.5074216e-05,0.8522064892774832
TRIL_ENSTGUG00000025309.1,0.0006180418,0.0015678862,-0.0009498444,0.025524721420592957
_ENSTGUG00000022210.1,0.00286267,0.0034272494,-0.0005645794,0.40647077350052796
_ENSTGUG00000005349.2,0.08437487,0.085306965,-0.00093209743,0.8354031050779159
_ENSTGUG00000023290.1,0.002553863,0.0033907893,-0.0008369263,0.2037958674468325
TXNL4A_ENSTGUG00000020282.1,0.2441064,0.26356333,-0.019456938,0.007511488620112951
_ENSTGUG00000028439.1,0.01540109,0.01740681,-0.0020057205,0.2636414116642792
CAVIN4_ENSTGUG00000008631.2,0.21323691,0.18186633,0.03137058,3.267205349897009e-07
_ENSTGUG00000023784.1,0.002799574,0.0009516023,0.0018479717,0.005346471881140474
MTDH_ENSTGUG00000011979.2,0.46679425,0.59756714,-0.13077289,5.8653303353877274e-37
_ENSTGUG00000019250.1,0.0005515406,0.00032819994,0.00022334064,0.40197464091056845
_ENSTGUG00000026150.1,0.00021864382,7.293308e-05,0.00014571074,0.42103147341607083
_ENSTGUG00000019480.1,0.21928544,0.19929163,0.019993812,0.0014992227368320408
_ENSTGUG00000026687.1,0.13873295,0.19475003,-0.05601707,1.0876172135355283e-20
_ENSTGUG00000007486.2,0.014871578,0.016511764,-0.0016401866,0.3371284749409664
LAPTM4B_ENSTGUG00000011987.2,0.5150032,0.5613113,-0.0463081,2.6974885124920846e-05
_ENSTGUG00000006673.2,0.030467547,0.0332432,-0.0027756542,0.28246209785979376
TBX20_ENSTGUG00000026986.1,0.0017845323,0.003092218,-0.0013076856,0.07399103490359878
RBFA_ENSTGUG00000006676.2,0.16373834,0.16804439,-0.004306048,0.46771070217151056
_ENSTGUG00000026485.1,0.00014849014,0.0001545006,-6.0104503e-06,0.9725914318993119
_ENSTGUG00000027510.1,0.067589715,0.09174459,-0.024154872,2.6604855349057153e-09
_ENSTGUG00000022559.1,0.00047509483,0.0010511308,-0.000576036,0.10963011064060305
_ENSTGUG00000019084.1,2.757302,2.2917352,0.46556687,1.2835729813618578e-227
_ENSTGUG00000020029.1,0.00047509483,0.0008940955,-0.0004190007,0.2173423523002843
_ENSTGUG00000026378.1,5.003047,4.7283263,0.27472067,1.6968307433309174e-209
WIPF3_ENSTGUG00000002969.2,0.072027616,0.07727791,-0.0052502975,0.13740867356575112
_ENSTGUG00000023451.1,4.573255,4.133215,0.4400401,0.0
HERPUD2_ENSTGUG00000005389.2,0.12799226,0.13038112,-0.0023888648,0.6550469135652185
ADNP2_ENSTGUG00000006688.2,0.04859286,0.0591127,-0.01051984,0.0022246443201271917
