,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,cluster
TYMS_ENSTGUG00000010173.2,0.0,,,,,,TYMS_ENSTGUG00000010173.2,radial glia 1
NOS3_ENSTGUG00000019554.1,0.0,,,,,,NOS3_ENSTGUG00000019554.1,radial glia 1
C5orf22_ENSTGUG00000001970.2,0.0,,,,,,C5orf22_ENSTGUG00000001970.2,radial glia 1
COLEC12_ENSTGUG00000010195.2,0.0,,,,,,COLEC12_ENSTGUG00000010195.2,radial glia 1
MC4R_ENSTGUG00000027462.1,0.0,,,,,,MC4R_ENSTGUG00000027462.1,radial glia 1
CDH20_ENSTGUG00000001975.2,0.0,,,,,,CDH20_ENSTGUG00000001975.2,radial glia 1
NETO1_ENSTGUG00000009188.2,0.0,,,,,,NETO1_ENSTGUG00000009188.2,radial glia 1
ABHD5_ENSTGUG00000003814.2,0.0,,,,,,ABHD5_ENSTGUG00000003814.2,radial glia 1
CBLN2_ENSTGUG00000009205.2,0.0,,,,,,CBLN2_ENSTGUG00000009205.2,radial glia 1
ANO10_ENSTGUG00000003830.2,0.0,,,,,,ANO10_ENSTGUG00000003830.2,radial glia 1
STK17A_ENSTGUG00000029061.1,1.75,-1.0244430417008805,3.99140466333022,0.05910650043641752,0.8079137668206758,1.0,STK17A_ENSTGUG00000029061.1,radial glia 1
PIGN_ENSTGUG00000001988.2,0.0,,,,,,PIGN_ENSTGUG00000001988.2,radial glia 1
HECW1_ENSTGUG00000001817.2,0.0,,,,,,HECW1_ENSTGUG00000001817.2,radial glia 1
FRRS1L_ENSTGUG00000023938.1,0.0,,,,,,FRRS1L_ENSTGUG00000023938.1,radial glia 1
DOK6_ENSTGUG00000009250.2,0.0,,,,,,DOK6_ENSTGUG00000009250.2,radial glia 1
EPB41L4B_ENSTGUG00000008100.2,0.0,,,,,,EPB41L4B_ENSTGUG00000008100.2,radial glia 1
RELCH_ENSTGUG00000001999.2,0.0,,,,,,RELCH_ENSTGUG00000001999.2,radial glia 1
INHBA_ENSTGUG00000001843.2,0.0,,,,,,INHBA_ENSTGUG00000001843.2,radial glia 1
