,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,cluster
IRF4_ENSTGUG00000002144.2,0.0,,,,,,IRF4_ENSTGUG00000002144.2,red blood cells
_ENSTGUG00000010683.2,0.0,,,,,,_ENSTGUG00000010683.2,red blood cells
ENTPD3_ENSTGUG00000003902.2,0.0,,,,,,ENTPD3_ENSTGUG00000003902.2,red blood cells
TTR_ENSTGUG00000010708.2,0.0,,,,,,TTR_ENSTGUG00000010708.2,red blood cells
_ENSTGUG00000010735.2,0.0,,,,,,_ENSTGUG00000010735.2,red blood cells
_ENSTGUG00000003917.2,0.0,,,,,,_ENSTGUG00000003917.2,red blood cells
OXR1_ENSTGUG00000012194.2,0.0,,,,,,OXR1_ENSTGUG00000012194.2,red blood cells
NOD1_ENSTGUG00000003926.2,0.0,,,,,,NOD1_ENSTGUG00000003926.2,red blood cells
NQO2_ENSTGUG00000002159.2,0.0,,,,,,NQO2_ENSTGUG00000002159.2,red blood cells
_ENSTGUG00000021749.1,0.0,,,,,,_ENSTGUG00000021749.1,red blood cells
_ENSTGUG00000019458.1,0.0,,,,,,_ENSTGUG00000019458.1,red blood cells
RSPO2_ENSTGUG00000012214.2,0.0,,,,,,RSPO2_ENSTGUG00000012214.2,red blood cells
_ENSTGUG00000028033.1,0.0,,,,,,_ENSTGUG00000028033.1,red blood cells
GAREM1_ENSTGUG00000010770.2,0.0,,,,,,GAREM1_ENSTGUG00000010770.2,red blood cells
_ENSTGUG00000020908.1,0.0,,,,,,_ENSTGUG00000020908.1,red blood cells
_ENSTGUG00000010771.2,0.0,,,,,,_ENSTGUG00000010771.2,red blood cells
TUBB2A_ENSTGUG00000028536.1,0.0,,,,,,TUBB2A_ENSTGUG00000028536.1,red blood cells
VIPR2_ENSTGUG00000000754.2,0.0,,,,,,VIPR2_ENSTGUG00000000754.2,red blood cells
KLHL18_ENSTGUG00000000150.2,0.0,,,,,,KLHL18_ENSTGUG00000000150.2,red blood cells
_ENSTGUG00000020957.1,0.0,,,,,,_ENSTGUG00000020957.1,red blood cells
_ENSTGUG00000027397.1,0.0,,,,,,_ENSTGUG00000027397.1,red blood cells
CPNE4_ENSTGUG00000004219.2,0.0,,,,,,CPNE4_ENSTGUG00000004219.2,red blood cells
NTAQ1_ENSTGUG00000020251.1,0.0,,,,,,NTAQ1_ENSTGUG00000020251.1,red blood cells
LARP4B_ENSTGUG00000000811.2,0.0,,,,,,LARP4B_ENSTGUG00000000811.2,red blood cells
DNAJC13_ENSTGUG00000004305.2,0.0,,,,,,DNAJC13_ENSTGUG00000004305.2,red blood cells
_ENSTGUG00000025452.1,0.0,,,,,,_ENSTGUG00000025452.1,red blood cells
WDR37_ENSTGUG00000000838.2,0.0,,,,,,WDR37_ENSTGUG00000000838.2,red blood cells
UBA5_ENSTGUG00000004432.2,0.0,,,,,,UBA5_ENSTGUG00000004432.2,red blood cells
_ENSTGUG00000029540.1,0.0,,,,,,_ENSTGUG00000029540.1,red blood cells
NRN1_ENSTGUG00000002274.2,0.0,,,,,,NRN1_ENSTGUG00000002274.2,red blood cells
_ENSTGUG00000028141.1,0.0,,,,,,_ENSTGUG00000028141.1,red blood cells
ADARB2_ENSTGUG00000000848.2,0.0,,,,,,ADARB2_ENSTGUG00000000848.2,red blood cells
F13A1_ENSTGUG00000002276.2,0.0,,,,,,F13A1_ENSTGUG00000002276.2,red blood cells
_ENSTGUG00000026017.1,0.0,,,,,,_ENSTGUG00000026017.1,red blood cells
LY86_ENSTGUG00000026091.1,0.0,,,,,,LY86_ENSTGUG00000026091.1,red blood cells
_ENSTGUG00000010914.2,0.0,,,,,,_ENSTGUG00000010914.2,red blood cells
ITGA9_ENSTGUG00000001897.2,0.0,,,,,,ITGA9_ENSTGUG00000001897.2,red blood cells
SNTG1_ENSTGUG00000010922.2,0.0,,,,,,SNTG1_ENSTGUG00000010922.2,red blood cells
