,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,cluster
OSBPL1A_ENSTGUG00000010525.2,0.0,,,,,,OSBPL1A_ENSTGUG00000010525.2,oligodendrocyte precursor cells
CCM2_ENSTGUG00000015039.2,0.0,,,,,,CCM2_ENSTGUG00000015039.2,oligodendrocyte precursor cells
COLEC10_ENSTGUG00000019400.1,0.0,,,,,,COLEC10_ENSTGUG00000019400.1,oligodendrocyte precursor cells
IMPACT_ENSTGUG00000010551.2,0.0,,,,,,IMPACT_ENSTGUG00000010551.2,oligodendrocyte precursor cells
CCN3_ENSTGUG00000012349.2,0.0,,,,,,CCN3_ENSTGUG00000012349.2,oligodendrocyte precursor cells
KLF10_ENSTGUG00000012120.2,0.0,,,,,,KLF10_ENSTGUG00000012120.2,oligodendrocyte precursor cells
WRNIP1_ENSTGUG00000002117.2,0.0,,,,,,WRNIP1_ENSTGUG00000002117.2,oligodendrocyte precursor cells
BAALC_ENSTGUG00000028617.1,0.0,,,,,,BAALC_ENSTGUG00000028617.1,oligodendrocyte precursor cells
AMPH_ENSTGUG00000001869.2,0.0,,,,,,AMPH_ENSTGUG00000001869.2,oligodendrocyte precursor cells
FZD6_ENSTGUG00000012145.2,0.0,,,,,,FZD6_ENSTGUG00000012145.2,oligodendrocyte precursor cells
ENPP2_ENSTGUG00000012352.2,0.5,3.804168709294668e-05,4.981024188565521,-1.3367085216486885e-11,1.0,1.0,ENPP2_ENSTGUG00000012352.2,oligodendrocyte precursor cells
MYLK4_ENSTGUG00000019999.1,0.0,,,,,,MYLK4_ENSTGUG00000019999.1,oligodendrocyte precursor cells
_ENSTGUG00000023173.1,0.0,,,,,,_ENSTGUG00000023173.1,oligodendrocyte precursor cells
SCAP_ENSTGUG00000020198.1,0.0,,,,,,SCAP_ENSTGUG00000020198.1,oligodendrocyte precursor cells
ELP6_ENSTGUG00000000144.2,0.0,,,,,,ELP6_ENSTGUG00000000144.2,oligodendrocyte precursor cells
GMDS_ENSTGUG00000002124.2,0.0,,,,,,GMDS_ENSTGUG00000002124.2,oligodendrocyte precursor cells
RIMS2_ENSTGUG00000012161.2,0.0,,,,,,RIMS2_ENSTGUG00000012161.2,oligodendrocyte precursor cells
AQP4_ENSTGUG00000020250.1,0.0,,,,,,AQP4_ENSTGUG00000020250.1,oligodendrocyte precursor cells
_ENSTGUG00000002129.2,0.0,,,,,,_ENSTGUG00000002129.2,oligodendrocyte precursor cells
FOXQ1_ENSTGUG00000018779.1,0.0,,,,,,FOXQ1_ENSTGUG00000018779.1,oligodendrocyte precursor cells
_ENSTGUG00000010651.2,0.0,,,,,,_ENSTGUG00000010651.2,oligodendrocyte precursor cells
_ENSTGUG00000028219.1,0.0,,,,,,_ENSTGUG00000028219.1,oligodendrocyte precursor cells
POMGNT2_ENSTGUG00000003854.2,0.0,,,,,,POMGNT2_ENSTGUG00000003854.2,oligodendrocyte precursor cells
LRP12_ENSTGUG00000012185.2,0.0,,,,,,LRP12_ENSTGUG00000012185.2,oligodendrocyte precursor cells
_ENSTGUG00000001876.2,0.0,,,,,,_ENSTGUG00000001876.2,oligodendrocyte precursor cells
ZFPM2_ENSTGUG00000012190.2,0.0,,,,,,ZFPM2_ENSTGUG00000012190.2,oligodendrocyte precursor cells
IRF4_ENSTGUG00000002144.2,0.0,,,,,,IRF4_ENSTGUG00000002144.2,oligodendrocyte precursor cells
_ENSTGUG00000010683.2,0.0,,,,,,_ENSTGUG00000010683.2,oligodendrocyte precursor cells
ENTPD3_ENSTGUG00000003902.2,0.0,,,,,,ENTPD3_ENSTGUG00000003902.2,oligodendrocyte precursor cells
TTR_ENSTGUG00000010708.2,0.0,,,,,,TTR_ENSTGUG00000010708.2,oligodendrocyte precursor cells
_ENSTGUG00000010735.2,0.0,,,,,,_ENSTGUG00000010735.2,oligodendrocyte precursor cells
_ENSTGUG00000003917.2,0.0,,,,,,_ENSTGUG00000003917.2,oligodendrocyte precursor cells
OXR1_ENSTGUG00000012194.2,0.0,,,,,,OXR1_ENSTGUG00000012194.2,oligodendrocyte precursor cells
NOD1_ENSTGUG00000003926.2,0.0,,,,,,NOD1_ENSTGUG00000003926.2,oligodendrocyte precursor cells
NQO2_ENSTGUG00000002159.2,0.0,,,,,,NQO2_ENSTGUG00000002159.2,oligodendrocyte precursor cells
_ENSTGUG00000021749.1,0.0,,,,,,_ENSTGUG00000021749.1,oligodendrocyte precursor cells
_ENSTGUG00000019458.1,0.0,,,,,,_ENSTGUG00000019458.1,oligodendrocyte precursor cells
RSPO2_ENSTGUG00000012214.2,0.0,,,,,,RSPO2_ENSTGUG00000012214.2,oligodendrocyte precursor cells
_ENSTGUG00000028033.1,0.0,,,,,,_ENSTGUG00000028033.1,oligodendrocyte precursor cells
GAREM1_ENSTGUG00000010770.2,0.0,,,,,,GAREM1_ENSTGUG00000010770.2,oligodendrocyte precursor cells
_ENSTGUG00000020908.1,0.0,,,,,,_ENSTGUG00000020908.1,oligodendrocyte precursor cells
_ENSTGUG00000010771.2,0.0,,,,,,_ENSTGUG00000010771.2,oligodendrocyte precursor cells
TUBB2A_ENSTGUG00000028536.1,3.5,-1.1660947967514213e-05,3.835164381633212,-9.244160992238903e-12,1.0,1.0,TUBB2A_ENSTGUG00000028536.1,oligodendrocyte precursor cells
