,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,cluster
TSHZ1_ENSTGUG00000009111.2,0.0,,,,,,TSHZ1_ENSTGUG00000009111.2,microglia 3 / radial glia
ZNF407_ENSTGUG00000009124.2,0.25,15.14891403819322,251.93754309060625,0.4110847400689064,0.5214194470342172,0.6746767022161076,ZNF407_ENSTGUG00000009124.2,microglia 3 / radial glia
CDH9_ENSTGUG00000001934.2,0.0,,,,,,CDH9_ENSTGUG00000001934.2,microglia 3 / radial glia
CDH6_ENSTGUG00000001940.2,0.0,,,,,,CDH6_ENSTGUG00000001940.2,microglia 3 / radial glia
CMTM8_ENSTGUG00000003684.2,0.0,,,,,,CMTM8_ENSTGUG00000003684.2,microglia 3 / radial glia
CMTM7_ENSTGUG00000028236.1,0.0,,,,,,CMTM7_ENSTGUG00000028236.1,microglia 3 / radial glia
DIPK1C_ENSTGUG00000009165.2,0.0,,,,,,DIPK1C_ENSTGUG00000009165.2,microglia 3 / radial glia
METTL4_ENSTGUG00000010144.2,0.0,,,,,,METTL4_ENSTGUG00000010144.2,microglia 3 / radial glia
CYB5A_ENSTGUG00000009166.2,1.0,2.5224586934669437,4.978220708621914,0.15471638867519033,0.6940683474067366,0.8591440649691353,CYB5A_ENSTGUG00000009166.2,microglia 3 / radial glia
ADCYAP1_ENSTGUG00000021936.1,0.0,,,,,,ADCYAP1_ENSTGUG00000021936.1,microglia 3 / radial glia
LANCL2_ENSTGUG00000020824.1,0.25,15.14891403819322,251.93754309060625,0.4110847400689064,0.5214194470342172,0.6746767022161076,LANCL2_ENSTGUG00000020824.1,microglia 3 / radial glia
TYMS_ENSTGUG00000010173.2,0.0,,,,,,TYMS_ENSTGUG00000010173.2,microglia 3 / radial glia
NOS3_ENSTGUG00000019554.1,0.0,,,,,,NOS3_ENSTGUG00000019554.1,microglia 3 / radial glia
C5orf22_ENSTGUG00000001970.2,0.0,,,,,,C5orf22_ENSTGUG00000001970.2,microglia 3 / radial glia
COLEC12_ENSTGUG00000010195.2,0.0,,,,,,COLEC12_ENSTGUG00000010195.2,microglia 3 / radial glia
MC4R_ENSTGUG00000027462.1,0.0,,,,,,MC4R_ENSTGUG00000027462.1,microglia 3 / radial glia
CDH20_ENSTGUG00000001975.2,0.0,,,,,,CDH20_ENSTGUG00000001975.2,microglia 3 / radial glia
NETO1_ENSTGUG00000009188.2,0.0,,,,,,NETO1_ENSTGUG00000009188.2,microglia 3 / radial glia
ABHD5_ENSTGUG00000003814.2,0.0,,,,,,ABHD5_ENSTGUG00000003814.2,microglia 3 / radial glia
